Pathway	pVal	zScore	Genes	type
Hepatobiliary carcinoma	16.1931419704812	0.235	ERBB4,RPS24,SAR1B,SMARCA4,ENC1,PAK3,ARGLU1,LUZP2,EPC1,PABPC1,SLC1A2,NOVA1,ENAH,FOXG1,MAP3K1,SFPQ,OPCML,BAX,CD24,ERBB3,C3orf70,CCN1,INSM1,SULF2,TSPAN7,SPRY4,SELENOM,GPSM2,SPECC1,PCDH17,RNF157,C7orf50,CDH13,PLEKHB1,NASP,TXN,SRSF5,DBI,SET,EGR1,CACNA1A,NRXN1,KLF3,HSPA9,SHTN1,CHDH,CELF2,ACSL3,PTPRE,RPL7A,SAMD4A,STAT3,SH3BGRL3,SPATA6,SRSF10,DOCK9,ASTN1,RPS29,PPP1R9A,EIF4G2,KIF13A,RPLP0,NKAIN3,COL11A1,CCND1,NENF,MT2A,RAB14,CSMD3,PLPPR1,COL20A1,INPP1,RPL37,RBM5,PNPLA8,USP24,EHD4,TANC1,FAM3C,DDX17,FCHSD2,SOX6,SRSF7,RBM3,OPHN1,PTCHD4,ADGRL3,ARC,PTPRD,SOX11,CHCHD10,SEZ6L2,DRAXIN,NARF,DCLK1,ETV1,PKM,NCAM2,CRNDE,IFNAR1,PCF11,GLTP,PEG10,CPXM1,PGM1,ADGRB3,SOX5,NAV2,GAS5,FABP7,TIMP2,MIR7-3HG,KANK1,OAT,BRD7,ETV5,VCAN,CTSC,TNK2,COL9A2,RPS27L,NDRG2,HNRNPU,RBMX,CD82,MYADM,CDH10,MEX3A,IL1RAP,BMP7,NRXN2,HDAC2,SRRM2,RPN2,IGFBP2,BCHE,AFAP1L2,CLK1,PDZD2,LTBP3,ZCCHC24,HEPACAM,MDGA2,SH3GLB1,NACA,SCAF11,RPL13A,AASS,CLSTN1,PCDH9,TEK,XKR4,SMAD3,ANP32B,CDKN1C,FOSB,AGAP1,MRPS28,BRD2,CALB2,GFRA1,CPEB4,RPL22,ATG101,TUBB4B,KHDRBS1,DCX,MAGI1,LNX1,MMP16,MYO3A,AFDN,FHL1,AP1S2,PIK3R1,MPC1,JMJD1C,JAG1,CAMK2N1,SRSF2,RRBP1,ACAA1,SON,IL6ST,PLP1,TIMP3,KCNJ10,BAALC,HERPUD1,SATB1,SOX8,MAP4K5,THYN1,ADGRA1,SP8,FOS,HNMT,TUBA1A,EIF3E,FKBP2,LRP1,PCSK7,HNRNPDL,CLCN3,KCNMA1,MYO10,PCDH7,CDKN2C,HSP90B1,RPAIN,TNFRSF21,ITGB8,TAOK3,CSPG5,FAM110B,CD47,HNRNPA1,COL16A1,BCLAF1,BCL11A,SRSF3,NLGN4X,LGALS1,EPHA3,ASRGL1,GPR155,THY1,CLIC1,ID4,TMEM9B,ARHGDIA,NTRK3,CDK6,RAB10,SLC6A1,GRM5,TOX3,ZNF649,NCALD,MFF,TM9SF3,TMBIM6,FARP2,IGF2,PHLDA1,RCOR2,OS9,PRPF4B,ITM2B,PSD3,FGFR1,SEL1L3,ATF7IP,TUBB3,BEX5,EEF1A2,LRP1B,CRISPLD1,DTNA,ASIC4,CLVS2,CTSD,APMAP,SOX2,B3GAT2,RASSF2,TET1,PDGFRA,PCDH19,COL9A1,PLPPR5,PRKX,BLM,NAA38,SOX9,PPP1R15A,PDIA3,SREK1,VCP,DPP10,MGLL,GRB14,ASAP1,SEMA3E,GPM6A,SF1,ZC3H6,CLPTM1,ZFP36L2,RPL12,KCNQ2,KRT10,RPL31,DENND5A,RIN2,IRS2,TUBB,ANXA5,RAMP2,DDAH1,DLX6-AS1,SYMPK,ANKS1B,DSEL,FTL,KIF21A,CCNG1,NFIC,ARL4D,PRPF38B,KCND2,BRINP3,KIFC3,FERMT1,PHACTR3,VMP1,GRIA4,LRPAP1,SKIL,LRRC4C,AHI1,RTN1,NFIA,GRID2,EIF3H,GPC2,PLEKHH2,IDH2,AIG1,JUNB,CACNG4,JUN,ST3GAL6,RAB33A,MCL1,PDE4B,NTNG1,RPL6,TUBB2A,PCDH10,DSCAM,PDLIM2,CALCRL,BTG3,SLC1A3,NTRK2,RPL4,ELMO1,LAMA4,NT5E,COBL,MAP4K4,MBP,RACK1,KLF6,ROBO1,CHRM3,KAZN,B2M,RPS2,TM4SF1,HADHB,CNTN1,SLITRK2,HES4,PDZRN3,TIAL1,FNIP1,HNRNPA2B1,FIP1L1,TCAF1,PLD3,CHD1,DNER,IGSF21,MAP2,TNR,GLUD1,MTSS1,MAP1B,PCDH15,TRIM9,ASXL1,CCNL1,PTPRZ1,GUCY1A2,RAB31,DBN1,ASB3/GPR75-ASB3,EIF3L,ATP2A2,IFITM10,CTTNBP2,ANK3,SOX10,APBB2,TTC3,CREB5,SCN1A,NR3C1,RNASEH2C,STK32B,PGRMC1,LRRK2,SOX4,P4HB,LINGO1,SLC32A1,AFF4,TJP1,LRRTM3,ASAH1,TMEM132B,RPL9,NLGN1,GRIA2,TRIO,CDKN1A,ARL6IP1,PSAP,CANX,CC2D1A,CCDC112,BSCL2,GPR17,NONO,SCG3,KPNA2,FDFT1,SRP14,ATP2B1,SIRT2,RPS3,CSDE1,CCT8,PBX1,COPA,HSPA5,SYNE1,DPYSL3,SCN2A,COTL1,TRA2B,KDM6B,NFE2L2	Functional
Density of neurons	6.20134935455473	0.234	NRCAM,ERBB4,GPM6A,CRMP1,DSCAM,SEPTIN11,IL1RAP,NTRK3,NTRK2,GRM5,UCHL1,DBN1,TNFRSF21,APP,PPP1R9A,EMC10,OPHN1,PRNP,ADGRB1,CHL1,EGR3,SLITRK2,GRID2,FAIM2,CSPG4,BAX,HES1	Functional
IL17A Signaling	2.59687947882418	0.224	B2M,CCN1,CCND1,COTL1,DLX1,EGR2,FOS,IRF1,JAG1,JUN,KLF3,LRRK2,MAP3K1,MCL1,MT2A,NME3,PLAT,SMAD3,SOX9,STAT3,TIMP1,TIMP2,TIMP3,TIMP4,TRAF4	Upstream
prostaglandin E2 Signaling	3.50307035192679	0.219	APP,ARC,BAX,BTG1,CALCRL,CALR,CCND1,CDKN1A,DCLK1,EEA1,EGR1,EGR2,FOS,FOSB,FSCN1,IRF1,JUN,LRP1,MCL1,NT5E,PDE4B,PPP1R15A,PSAP,RAB5A,SOX2,SOX4,SOX9,TJP1,TSC22D1,XRCC5,ZEB1	Upstream
Proliferation of stem cells	7.87942606879415	0.217	FGFR1,CCN1,ITGAV,LGALS1,HNRNPU,PIK3R1,SBDS,STAT3,XRCC5,ZFP36L1,CDKN1A,FERMT1,SLC1A3,CDK6,BMP7,JMJD1C,FERMT2,HMGA1,HDAC2,TXNIP,JAG1,CDKN2C,SLC1A2,APP,IGF2,PRRX1,CALR,LTBP3,KDM1A,PRNP,PBX1,SOX11,TSC22D1,MAP3K1,CCND1,TIMP3,SOX9,TIAL1,HES1,LRRK2,DAB2,JUNB,KDM5B	Functional
TGFB2 Signaling	4.89962945488244	0.215	CXCL16,EGR1,EGR2,FGFR1,FOS,ID4,JAG1,MGLL,MIF,PGM1,PHGDH,PLOD2,PSAT1,RAMP1,SMAD3,SMAP2,TIMP1,TIMP2,TUBB2A,TUBB4B,TXNIP,VCAN	Upstream
tranylcypromine Signaling	2.1444808443322	0.211	CDKN1A,FOS,NTRK2,PDE4B	Upstream
Development of malignant tumor	23.1890957193313	0.209	SCN3A,NTSR1,ERBB4,RPS24,SMARCA4,HNRNPL,RPS5,ENC1,PAK3,ARGLU1,DDX39A,PPA1,LUZP2,ARL2BP,ST8SIA2,TXNIP,DIO3,RSRC2,FNBP1L,EPC1,GPM6B,PABPC1,NOVA1,CD70,ENAH,SMAP2,CEP170,FOXG1,DPP7,MAP3K1,OPCML,BAX,CD24,ERBB3,C3orf70,TAF1D,CCN1,ARFGAP2,INSM1,SULF2,DNAJC1,TSPAN7,SPRY4,SELENOM,COL9A3,GPSM2,SLC18B1,RPL22L1,SPECC1,RPS3A,CELF4,PCDH17,C7orf50,TMEM100,OLFM1,CDH13,PLEKHB1,NASP,SRSF5,DBI,PLAT,EGR1,CACNA1A,NRXN1,KLF3,HSPA9,SAPCD2,SHTN1,CHDH,CELF2,ACSL3,TUBB2B,PTPRE,TMEM59,SAMD4A,SLC35F1,SPRED1,CERS4,STAT3,TMED10,NSG1,EEA1,SYT11,SPATA6,DOCK9,ASTN1,SEMA5A,RPL39,RPS7,SLC44A1,PPP1R9A,DGCR2,EIF4G2,KIF13A,ITM2C,COL11A1,CCND1,RPL36,UBB,SP9,RPS15,NAV1,CSNK1A1,UBA52,ARMCX6,RAB14,CSMD3,PLPPR1,TRIM47,NREP,PTN,GRIA3,C1QL1,COL20A1,RBM5,USP24,EHD4,TANC1,SDC3,FAM3C,PLLP,SYNPR,DDX17,HMGA1,FCHSD2,SOX6,AMD1,CBX1,PPIB,OPHN1,PTCHD4,ADGRL3,ARL4C,ARC,PTPRD,SOX11,NAMPT,SEZ6L2,TMSB10/TMSB4X,DRAXIN,DCLK1,ETV1,PKM,NCAM2,CRNDE,SBDS,IFNAR1,STARD7,PCF11,PID1,LAGE3,ACAP3,NAP1L1,SGCB,PEG10,CPXM1,PGM1,RSRP1,ADGRB3,OLIG2,APOD,SOX5,NAV2,CORO1C,GAS5,FABP7,TIMP2,VWA1,KANK1,PRRX1,OAT,BRD7,CHL1,ETV5,ARPP21,VCAN,CTSC,RPS27A,HES1,TNK2,COL9A2,NDRG2,PLS3,HNRNPU,FNDC4,RBMX,CD82,INA,QDPR,MYADM,TEAD2,SDF4,CDH10,MEX3A,IL1RAP,BMP7,UGDH,NRXN2,HDAC2,SRRM2,RPN2,UCHL1,BRD3,IGFBP2,BCHE,AFAP1L2,CHST11,CLK1,PDZD2,LTBP3,KDM1A,ZCCHC24,HEPACAM,TSC22D1,MDGA2,PPM1K,CCDC47,OLA1,LAPTM4A,NACA,PSAT1,SCAF11,ASIC1,RPL13A,CASK,ITGAV,AASS,GNG7,CLSTN1,CHADL,PCDH9,BASP1,STC1,ELAVL4,DUSP26,TEK,XKR4,ASCL1,SMAD3,ANP32B,ZFP36L1,CDKN1C,RGCC,KCNIP1,AGAP1,RND3,MRPS28,BRD2,SRSF6,PIK3R3,CALB2,GFRA1,CPEB4,RPL22,ZEB1,APP,FAM107B,EMC10,TUBB4B,KHDRBS1,STMN2,DCX,MAGI1,ABHD2,MMP16,MYO3A,PRDX4,AFDN,HNRNPF,FHL1,SCRG1,AP1S2,PIK3R1,XYLT1,SCD5,KLRC2,BCAN,MPC1,NLGN3,PGM3,JMJD1C,JAG1,ETFB,SRSF2,RRBP1,ACAA1,SERPINB6,AKT2,SON,SPARC,IL6ST,CCNH,NPAS3,PLP1,TIMP3,RPL36A,MCAM,VAPA,TSPYL1,TIMP1,KCNJ10,LRRN1,IRF1,DLX5,SATB1,MAP4K5,HSPA13,THYN1,ADGRA1,SP8,SCGN,FOS,HNMT,RPS13,TUBA1A,LUC7L3,EIF3E,LRP1,PCSK7,WDR1,RPL14,HNRNPDL,FERMT2,CLCN3,KCNMA1,MYO10,ZBED1,PCDH7,CDKN2C,HSP90B1,RPAIN,TNFRSF21,ITGB8,DPYSL2,TAOK3,FAM110B,CD47,APPL1,HNRNPA1,COL16A1,CLU,BCLAF1,ZFAS1,SSPN,BCL11A,VSTM2B,SRSF3,EPN2,NLGN4X,LGALS1,EPHA3,ASRGL1,GPR155,RBBP7,THY1,POLR1D,KHDRBS3,CXXC4,CMC2,RBM25,RPL5,ARHGDIA,NTRK3,CDK6,SLC6A1,GRM5,TOX3,ZNF649,PLOD2,MFF,BCL11B,TM9SF3,FBXO7,PPP2R2A,FARP2,IGF2,PHLDA1,GSE1,LAMP1,RCOR2,CMTM5,OS9,PRPF4B,SEPTIN9,PFN2,DNM3,ITM2B,PLPP3,PSD3,FGFR1,SEL1L3,DMPK,NRCAM,ATF7IP,ING3,BEX4,TUBB3,ZNF397,CD320,EEF1A2,RBFOX2,PRKACB,LRP1B,CRISPLD1,GPC6,DTNA,ASIC4,CLVS2,MLEC,CXCL16,ACTN4,CTSD,SOX2,MTDH,B3GAT2,NKX2-2,RASSF2,FGF12,TET1,PDGFRA,PCDH19,MLLT11,COL9A1,PLPPR5,PRKX,BLM,AKAP7,RPS16,RBM39,PRNP,RHOB,SOX9,PPP1R15A,CSPG4,PDIA3,DUSP6,SREK1,VCP,TCEAL2,DPP10,CHPT1,NEDD4L,MGLL,GRB14,ASAP1,SEMA3E,GPM6A,TMEM87A,SF1,ZC3H6,CLPTM1,H2AX,ZFP36L2,RPL12,KCNQ2,BEX2,ZNF385D,SNX1,KRT10,RTRAF,GOLM1,PAFAH1B3,OLFM2,DLX1,DENND5A,RIN2,ITM2A,PRTFDC1,DYNC1I2,IRS2,TUBB,NKAIN4,ANXA5,SAT1,SSBP3,RAMP2,GPR37L1,MT3,DLX6-AS1,SPPL2A,CPE,SYMPK,ANKS1B,DSEL,FTL,PDIA6,MRPL42,KIF21A,PNN,CNP,CFAP20,NFIC,RPS19,PSMA7,PRPF38B,NUCB1,KCND2,BRINP3,KLC1,KIFC3,RPS11,FERMT1,PHACTR3,VMP1,EMP2,GRIA4,WSCD1,SKIL,NTM,SUSD5,LRRC4C,MYT1,RPLP2,PDLIM5,AHI1,RTN1,H3-3A/H3-3B,NFIA,CLDND1,ADD3,GAL3ST1,GRID2,GALNT10,GPC2,PLEKHH2,EVL,IDH2,JUNB,CACNG4,JUN,ST3GAL6,GOLGA8A/GOLGA8B,RAB33A,CALM1 (includes others),MCL1,STMN4,SERPINE2,CRMP1,GATM,PDE4B,NTNG1,CKB,RPS20,SLC3A2,TUBB2A,COX7A2,PCDH10,DSCAM,CALCRL,LIMA1,BTG3,SLC1A3,FZD3,TRIB2,NTRK2,RPL4,ELMO1,LAMA4,NT5E,COBL,MAP4K4,HM13,MBP,RACK1,KLF6,ANKRD36C,ROBO1,CHRM3,KAZN,B2M,RALYL,RPS2,CREBRF,RPS14,TM4SF1,HADHB,P2RX7,PXDC1,CNTN1,ADGRB1,PLPPR3,SLITRK2,HES4,TM7SF2,NEFM,PDZRN3,FAIM2,TIAL1,FNIP1,LYPD1,HNRNPA2B1,ATP6AP2,TRA2A,FIP1L1,KAT2B,HINT1,DCXR,CHD1,HTRA1,DNER,IGSF21,TAC3,MAP2,TNR,MTSS1,MAP1B,GDAP1L1,PCDH15,TRIM9,ASXL1,PTPRZ1,RPS6,GUCY1A2,RAB31,CDC42SE1,DBN1,RAP1GAP,ASB3/GPR75-ASB3,EIF3L,ATP2A2,S100B,CTTNBP2,ANK3,SOX10,APBB2,TTC3,CREB5,SCN1A,ANKRD28,NR3C1,MPZL1,GNG12,RNASEH2C,STK32B,PGRMC1,LRRK2,SOX4,P4HB,KDM5B,SNX3,LINGO1,SLC32A1,AFF4,PHGDH,AKT3,TJP1,LRRTM3,ASAH1,TMEM132B,SNRNP70,CDK2AP1,HYI,NLGN1,DLGAP4,PHF6,GNG3,CARHSP1,COX6B1,XRCC5,GRIA2,TRIO,PDE6D,CDKN1A,ARL6IP1,CANX,UGT8,CC2D1A,CCDC112,BSCL2,MIF,PNKD,GPR17,TMED9,NONO,FSCN1,DEGS1,NPDC1,SCG3,KPNA2,JPT1,FDFT1,ATP2B1,SIRT2,EEF1B2,ARX,STMN1,CSDE1,CCDC50,TAGLN3,CCT8,ATF4,PBX1,EGR3,DLX6,COPA,HSPA5,ATP5MG,SYNE1,DPYSL3,SLC2A13,SCN2A,GAD2,EGR2,SLC22A17,FGF14,DAB2,TRA2B,KDM6B,NFE2L2	Functional
SMARCB1 Signaling	2.79588001734407	0.203	ADD3,ASCL1,BTG1,CCND1,CDKN1A,CDKN1C,CDKN2C,FOS,HES1,IGFBP2,PTMS,PTN,RAB14,RND3,SOX10,SOX9,SPARC,STAT3	Upstream
CCN1 Signaling	3.33441900898205	0.201	BAX,CCN1,CCND1,CDKN1A,IL6ST,ITGAV,JUN,MCL1,MIF,TIMP1,TIMP2	Upstream
FOSB Signaling	3.39469495385889	0.2	CCND1,FOS,FOSB,GRIA2,MT2A,SMAD3,TIMP1	Upstream
Organization of cells	7.64975198166584	0.2	FGFR1,SEMA3E,NLGN4X,GPM6A,INA,PAK3,TNR,STAT3,TUBA1A,NLGN1,SEPTIN11,NLGN3,WDR1,SLC6A1,MBP,TUBB,TXN,APP,ATP2A2,ADGRL3,CTTNBP2,SPARC,IGF2,KIF13A,ANK3,CALR,CHL1,ETV5,SLITRK2,VCP,PGRMC1	Functional
B-cell lymphoma	9.0301183562535	0.199	IRF1,SATB1,ETV1,ERBB4,ANXA6,SMARCA4,CNP,PAK3,TUBA1A,DDX39A,KLC1,RPL19,SKIL,PEG10,CDKN2C,FNBP1L,HSP90B1,TNFRSF21,PABPC1,CD70,TIMP2,ARPP21,BCLAF1,BAX,CD24,ERBB3,IDH2,JUN,SYT1,MCL1,LGALS1,HNRNPU,EPHA3,PDE4B,RPS20,TEAD2,TUBB2A,GPSM2,CALCRL,SPECC1,CDK6,BMP7,HDAC2,MAP4K4,RPN2,BCL11B,RACK1,NASP,ROBO1,EGR1,BCHE,B2M,CACNA1A,AFAP1L2,RPS2,NRXN1,CLK1,PDZD2,GSE1,LAMP1,TSC22D1,MDGA2,PTPRE,PDZRN3,ITM2B,BTG1,PSAT1,SEL1L3,AASS,TUBB3,CHD1,LRP1B,STAT3,ZFP36L1,MAP1B,CDKN1C,PCDH15,RND3,SEMA5A,BRD2,PTPRZ1,PDGFRA,APP,TUBB4B,COL11A1,NR3C1,CCND1,PDIA3,MGLL,RPS15,PHGDH,SEMA3E,FHL1,SF1,PIK3R1,CLPTM1,H2AX,ZFP36L2,NREP,SNX1,COL20A1,XRCC5,CDKN1A,TANC1,NONO,FSCN1,KPNA2,TUBB,SRSF2,SIRT2,STMN1,CSDE1,PTPRD,SOX11,NPAS3,SYNE1,EGR2,DSEL	Functional
SERPINE1 Signaling	2.82973828460504	0.198	BAX,CALR,CDKN1A,CXCL16,DUSP6,EGR1,FOS,ITGAV,JUNB,MAP3K1,PHLDA1	Upstream
androgen Signaling	2.89962945488244	0.196	ADI1,APOD,CALR,CCND1,ERBB3,FOS,IGFBP2,JUN,NTRK2,PIK3R1,SMAD3,SOX4,SOX9,STAT3,TLE5,VMP1	Upstream
Liver carcinoma	16.137272471682	0.196	ERBB4,RPS24,SMARCA4,ENC1,PAK3,ARGLU1,LUZP2,EPC1,PABPC1,SLC1A2,NOVA1,ENAH,FOXG1,MAP3K1,SFPQ,OPCML,BAX,CD24,ERBB3,C3orf70,CCN1,INSM1,SULF2,TSPAN7,SPRY4,SELENOM,GPSM2,SPECC1,PCDH17,RNF157,C7orf50,CDH13,PLEKHB1,NASP,TXN,SRSF5,DBI,SET,EGR1,CACNA1A,NRXN1,KLF3,HSPA9,SHTN1,CHDH,CELF2,ACSL3,PTPRE,RPL7A,SAMD4A,STAT3,SH3BGRL3,SRSF10,DOCK9,ASTN1,RPS29,PPP1R9A,EIF4G2,NKAIN3,COL11A1,CCND1,NENF,MT2A,RAB14,CSMD3,PLPPR1,COL20A1,INPP1,RPL37,PNPLA8,USP24,EHD4,TANC1,DDX17,FCHSD2,SOX6,SRSF7,RBM3,OPHN1,PTCHD4,ADGRL3,ARC,PTPRD,SOX11,CHCHD10,SEZ6L2,DRAXIN,NARF,DCLK1,ETV1,PKM,NCAM2,CRNDE,IFNAR1,PCF11,GLTP,PEG10,CPXM1,PGM1,ADGRB3,SOX5,NAV2,GAS5,FABP7,TIMP2,MIR7-3HG,KANK1,OAT,BRD7,ETV5,VCAN,CTSC,TNK2,COL9A2,NDRG2,HNRNPU,RBMX,CD82,MYADM,CDH10,MEX3A,IL1RAP,BMP7,NRXN2,HDAC2,SRRM2,RPN2,IGFBP2,BCHE,AFAP1L2,CLK1,PDZD2,LTBP3,ZCCHC24,HEPACAM,MDGA2,SH3GLB1,NACA,SCAF11,AASS,CLSTN1,PCDH9,TEK,XKR4,SMAD3,ANP32B,CDKN1C,FOSB,AGAP1,MRPS28,BRD2,CALB2,GFRA1,CPEB4,ATG101,TUBB4B,KHDRBS1,DCX,MAGI1,LNX1,MMP16,MYO3A,AFDN,FHL1,AP1S2,PIK3R1,MPC1,JMJD1C,JAG1,CAMK2N1,SRSF2,RRBP1,ACAA1,SON,IL6ST,PLP1,TIMP3,KCNJ10,BAALC,HERPUD1,SATB1,SOX8,MAP4K5,THYN1,ADGRA1,SP8,FOS,HNMT,TUBA1A,EIF3E,FKBP2,LRP1,HNRNPDL,CLCN3,KCNMA1,MYO10,PCDH7,CDKN2C,HSP90B1,RPAIN,TNFRSF21,ITGB8,TAOK3,CSPG5,FAM110B,CD47,HNRNPA1,COL16A1,BCLAF1,BCL11A,SRSF3,LGALS1,EPHA3,ASRGL1,GPR155,THY1,CLIC1,ID4,TMEM9B,ARHGDIA,NTRK3,CDK6,RAB10,SLC6A1,GRM5,TOX3,ZNF649,NCALD,MFF,TM9SF3,TMBIM6,FARP2,IGF2,PHLDA1,RCOR2,OS9,PRPF4B,ITM2B,PSD3,FGFR1,SEL1L3,ATF7IP,TUBB3,BEX5,EEF1A2,LRP1B,CRISPLD1,DTNA,ASIC4,CLVS2,CTSD,APMAP,SOX2,B3GAT2,RASSF2,TET1,PDGFRA,PCDH19,COL9A1,PLPPR5,PRKX,BLM,NAA38,SOX9,PPP1R15A,PDIA3,SREK1,VCP,DPP10,MGLL,GRB14,ASAP1,SEMA3E,GPM6A,ZC3H6,ZFP36L2,RPL12,KCNQ2,KRT10,RPL31,DENND5A,RIN2,IRS2,TUBB,ANXA5,RAMP2,DDAH1,DLX6-AS1,SYMPK,ANKS1B,DSEL,FTL,KIF21A,CCNG1,NFIC,ARL4D,PRPF38B,KCND2,BRINP3,FERMT1,PHACTR3,VMP1,GRIA4,LRPAP1,SKIL,LRRC4C,AHI1,RTN1,GRID2,EIF3H,GPC2,PLEKHH2,IDH2,AIG1,CACNG4,JUN,ST3GAL6,RAB33A,MCL1,PDE4B,NTNG1,RPL6,TUBB2A,PCDH10,DSCAM,PDLIM2,CALCRL,BTG3,SLC1A3,NTRK2,ELMO1,LAMA4,NT5E,COBL,MAP4K4,MBP,KLF6,RACK1,ROBO1,KAZN,B2M,RPS2,HADHB,CNTN1,SLITRK2,PDZRN3,TIAL1,FNIP1,HNRNPA2B1,FIP1L1,TCAF1,PLD3,CHD1,DNER,MAP2,TNR,GLUD1,MTSS1,MAP1B,PCDH15,TRIM9,ASXL1,CCNL1,PTPRZ1,GUCY1A2,RAB31,DBN1,ASB3/GPR75-ASB3,ATP2A2,IFITM10,CTTNBP2,ANK3,SOX10,APBB2,TTC3,CREB5,SCN1A,NR3C1,STK32B,PGRMC1,LRRK2,SOX4,P4HB,LINGO1,SLC32A1,AFF4,TJP1,LRRTM3,ASAH1,TMEM132B,NLGN1,GRIA2,TRIO,CDKN1A,ARL6IP1,PSAP,CC2D1A,CCDC112,BSCL2,GPR17,NONO,SCG3,FDFT1,SRP14,ATP2B1,SIRT2,RPS3,CSDE1,CCT8,COPA,HSPA5,SYNE1,DPYSL3,SCN2A,COTL1,TRA2B,KDM6B,NFE2L2	Functional
Extrapulmonary secondary neoplasm	8.18309616062434	0.194	FGFR1,SEL1L3,ERBB4,MAP4K5,BEX4,TUBB3,CHD1,HTRA1,TEK,TUBA1A,SMAD3,LRP1,TRIM9,ACTN4,ASXL1,PDGFRA,RAB31,CDKN2C,HSP90B1,RTN1,DPYSL2,TUBB4B,KHDRBS1,ANK3,PRRX1,PRNP,STMN2,CLU,NR3C1,CCND1,DUSP6,ERBB3,TNK2,PLS3,AKT3,MCL1,TIMP4,ZFP36L2,TUBB2A,NTRK3,NTRK2,CDK6,NT5E,FSCN1,HDAC2,PLOD2,JAG1,ROBO1,IGFBP2,FDFT1,PLAT,AKT2,TM4SF1,SOX11,DPYSL3,PDZRN3,PLPP3	Functional
CDKN1B Signaling	3.4672456210075	0.193	B2M,BCL11A,CCND1,CDKN1A,EGR1,FHL1,GRIA4,HSPA5,MCL1,MMP16,RAB3A,SLC32A1,SOX2,STAT3	Upstream
PLX5622 Signaling	5.3045183235098	0.192	ARF5,ATF4,B2M,BAX,CAMK2N1,CDKN1A,CELF2,CLSTN1,COL9A3,CTSD,CXCL16,EMC10,GRIA2,HSPA5,IL6ST,MIF,NAMPT,NRXN2,NSG1,NTNG1,PGRMC1,RAB3A,S100B,SCN1A,SPARC,TJP1,TNR	Upstream
Hedgehog Signaling	2.00524305541237	0.192	CCND1,HES1,IGF2,JAG1,SOX2,SOX9	Upstream
LIN28A Signaling	3.41228903498109	0.19	ASCL1,CCN1,CCND1,CDKN1A,H2AX,HNRNPF,IGFBP2,SOX2,SOX9	Upstream
Cell movement of brain cells	7.9100948885606	0.188	PTPRZ1,DCLK1,NRCAM,ROBO1,APP,PLAT,RBFOX2,NFIA,CSDE1,FOXG1,PTN,TNR,TUBA1A,CHL1,DCX,TRIO,TIMP1,NTRK2,ST8SIA2,SDC3,ASTN1,SKIL	Functional
